
h4,h5,description,src
ROCH Cuisinière à Gaz – 4 feux – RSTS-405E-D,350 000,"<div class=""woocommerce-product-details__short-description"">
<ul>
<li>Marque: ROCH</li>
<li>Produit: Cuisinière à Gaz –</li>
<li>Capacité: 4 feux</li>
<li>Model: RSTS-405E-D</li>
</ul>
</div>",
Frigo Bar 1 Porte ASTECH,89 000,"<div class=""woocommerce-product-details__short-description"">
<p>CARACTERISTIQUES PRODUIT</p>
<ul>
<li>Marque : ASTECH</li>
<li>Type : Tropicalisé</li>
<li>Capacité : 90 L</li>
<li>Classe énergétique : A+</li>
<li>Nombre de portes : 1 portes</li>
<li>Type de pose : Pose libre</li>
</ul>
</div>",
Cuisinière ASTECH 4 Feux 50X50,77 500,"<div class=""woocommerce-product-details__short-description"">
<ul>
<li>Table de cuisson en acier inoxydable</li>
<li>4 brûleurs à gaz</li>
<li>Plateau Émaillés</li>
<li>Grill à gaz</li>
<li>Dimensions du foyer : <a href=""https://www.ambulantenligne.com/produit/cuisinere-4feux-60x60-inox-astech-cs-60-fo/"">50 x 50</a></li>
</ul>
</div>",
Téléviseur Panasonic 43 Pouces,175 000,,
Téléviseur Panasonic 32 Pouces,85 000,,
Congélateur Vertical-295l-10 Tiroirs-FR-295 Sharp,295 000,,
Machine à Laver Sharp 6kg,200 000,,
Frigo Bar 2 Portes ASTECH,104 900,"<div class=""woocommerce-product-details__short-description"">
<ul>
<li>Marque : ASTECH</li>
<li>Capacité : 115 L</li>
<li>Nombre de tiroirs : 2</li>
<li>Classe énergétique : A+</li>
<li>Nombre de portes : 2 porte</li>
<li>Type de pose : Pose libre</li>
<li>Garantie : 12 mois</li>
</ul>
</div>",
Machine à Laver 6kg SOLSTAR,179 000,"<div class=""woocommerce-product-details__short-description"">
<ul>
<li>Capacité de charge : 6Kg</li>
<li>Classe d’efficacité énergétique : A++</li>
<li>Consommation annuelle : 171 KWh/an</li>
</ul>
</div>",
Machine à Laver 6kg ASTECH,179 000,"<div class=""woocommerce-product-details__short-description"">
<table>
<tbody>
<tr>
<td>Capacité</td>
<td><b>6kg</b></td>
</tr>
<tr>
<td>Volume du tambour</td>
<td>42 L</td>
</tr>
<tr>
<td>Vitesse d’essorage</td>
<td>1200 tr/min</td>
</tr>
<tr>
<td>Qualité d’essorage</td>
<td>C</td>
</tr>
</tbody>
</table>
</div>",
Machine à Laver  6kg AKAI,179 000,"<div class=""woocommerce-product-details__short-description"">
<table>
<tbody>
<tr class=""ztXv9"">
<th>Marque</th>
<th><b>Akai</b></th>
</tr>
<tr>
<td>Efficacité énergétique (10 niveaux)</td>
<td>A++</td>
</tr>
<tr>
<td>Vitesse d’essorage</td>
<td>1000 tours/mn</td>
</tr>
<tr>
<td>Niveau sonore</td>
<td>58 dB</td>
</tr>
<tr>
<td>Capacité de <b>lavage</b></td>
<td>6 Kilogrammes</td>
</tr>
</tbody>
</table>
</div>",
Congélateur Astech 790L,375 000,,
Congélateur Astech 300 litres,185 000,,
Congélateur Astech 250 litres,165 000,,
Congélateur Astech 190 litres,135 000,,
Téléviseur LG 43Pouces,190 000,,
Machine à laver Solstar 7 kg,230 000,,
Cuisinière Syinix 5 Feux 80/60,190 000,,
Cuisinière Astech 4 Feux 50/50 Semi Inox,85 000,,
Frigo Bar Solstar 2 Portes,110 000,,
Frigo Bar Astech 1Porte 120l,85 000,,
Téléviseur Solstar Smart 4K 55 pouces,335 000,,
Téléviseur Solstar smart Android 43 pouce,175 000,,
Téléviseur Solstar 43 pouce,150 000,,
Téléviseur Solstar 32 pouces,85 000,,
Réfrigérateur Combine 340 litre no frost,335 000,,
Téléviseur Solstar 65pouces 4K,525 000,,
Split Solstar 9000BTU,160 000,,
Machine à Laver 10kg Sharp ES-MW125Z-H,275 000,"<div class=""woocommerce-product-details__short-description"">
<p>Machine à laver chargement par le haut Sharp 10 kg ES-MW125Z-H Points forts La capacité de 10 kg vous permet de laver un grand lot de vêtements en une seule fois Le matériau de carrosserie durable assure une durée de vie durable et sans problème Les pieds inférieurs robustes permettent une répartition du poids sûre, uniforme et antidérapante.</p>
</div>",
Lave Vaisselle Sharp 12 Places-6 Fonctions -Blanc-QW-MB612-SS3lave vaisselle,235 000,,
Lave Vaisselle Sharp-12 Places-6 Fonctions-Gris- QW-MB612-SS3,275 000,,
